year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1593,-1,00,-1,-1,00,-1,00,-1,00,-1,-1,00
1594,+1,00,-1,-1,-3,00,-1,-1,00,00,-2,-2
1595,-2,-2,-1,-3,00,-2,-2,-1,+1,+1,+1,+1
1596,+1,+1,+1,00,+1,-2,-2,-1,+1,+1,+1,+3
1597,+2,00,-2,-1,00,00,00,-2,-2,-1,-1,-2
1598,00,00,+2,-2,-1,-2,-1,00,+1,-1,00,-1
1599,-2,-2,+1,+2,00,+1,+1,+2,+1,-1,-1,-2
1600,-3,-2,-2,-2,-2,00,00,-3,-2,-1,00,00
1601,00,-2,-2,-1,-1,-1,-1,-3,-3,-1,-1,-1
1602,+2,+2,+2,-1,-1,+1,00,00,00,00,00,-1
1603,00,00,00,00,-1,+1,+1,00,00,00,+1,+2
1604,+1,-1,-1,00,00,00,00,00,-1,-1,-2,-1
1605,+1,+1,00,-1,00,+1,00,-1,+1,00,+1,-1
1606,00,00,+1,-1,00,00,-3,-1,-2,00,00,+2
1607,+2,+2,00,-1,00,-1,-2,+1,+2,-1,+1,-2
1608,-3,-3,-2,+1,00,-2,-1,-2,-1,-1,+1,+1
1609,+2,+2,+1,-1,-1,-1,-1,-1,00,00,+1,00
1610,+1,+1,-1,-1,-2,+2,+1,00,+2,+1,00,+1
1611,-1,-1,00,+1,-1,+2,+2,+1,-2,00,00,-1
1612,-2,-1,-2,00,00,00,00,+2,00,00,00,+1
1613,+2,00,00,+1,00,-1,+1,00,+1,00,-2,-2
1614,-1,-1,-2,-1,-1,-1,00,00,-1,-1,00,00
1615,-1,-2,-1,-2,-2,+1,+2,00,00,00,+2,00
1616,-2,-2,00,+2,00,+3,+2,+1,+1,00,00,+1
1617,+2,+2,-1,+1,+1,-2,-1,-1,00,+1,00,00
1618,00,00,00,00,-1,-2,00,00,-1,00,+1,-1
1619,+1,00,-1,00,-1,00,-1,00,00,-1,00,00
1620,-1,00,00,00,-1,00,00,+1,+1,00,00,-2
1621,-2,-1,00,00,+1,-1,-2,-1,-1,-1,-1,-1
1622,-2,-1,-2,00,-1,00,00,00,00,00,00,-1
1623,+1,+1,00,00,-2,00,+1,+1,00,00,-1,-1
1624,-2,-2,-2,+2,+2,+1,+2,+2,+2,00,00,-1
1625,+3,+2,00,00,-1,00,+1,-1,-2,-1,00,00
1626,+1,+3,00,00,-1,-2,-1,00,+2,00,00,+1
1627,-2,-1,-1,-2,-2,-3,-2,-1,-2,00,00,+1
1628,00,+1,+1,-1,00,-2,-2,00,00,-1,+2,+2
1629,+1,+1,00,-1,+2,+1,+2,00,+2,00,00,00
