year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1898,+1,00,00,00,-1,-1,-2,+1,00,00,+1,+1
1899,+1,+1,00,00,-1,-1,00,00,-1,-1,+2,-1
1900,+1,00,-1,-1,-1,+1,+1,00,00,00,+1,+1
1901,-1,-2,-1,00,00,00,+1,00,00,00,-1,00
1902,+1,-1,00,00,-3,00,-1,-2,-1,-1,-1,-1
1903,+1,+2,+1,-2,00,00,-1,-1,00,+1,+1,00
1904,00,00,00,+1,00,00,+1,00,-1,00,00,+1
1905,00,00,+1,-1,00,+1,+1,00,00,-3,00,00
1906,+1,00,00,00,+1,-1,00,00,-1,+1,+2,-1
1907,00,-1,00,-1,00,-1,-2,-1,00,+2,00,00
1908,-1,00,00,-1,+1,+1,00,-2,-1,00,-1,00
1909,00,-1,-1,00,-1,-1,-2,00,-1,+1,-1,+1
1910,+1,+1,00,00,00,+1,-1,-1,-1,+1,-1,+1
1911,00,00,+1,00,+1,-1,+2,+2,+1,00,+1,+1
1912,00,+1,+2,00,00,00,+1,-2,-3,-2,-1,+1
1913,00,00,+2,00,00,-1,-2,-2,00,+1,+2,+1
1914,-1,+1,+1,+2,-1,-1,00,+1,-1,00,00,+1
1915,00,00,-1,00,+1,+2,-1,-1,-1,-2,-1,+1
1916,+2,00,00,00,+1,-3,-1,-1,-1,00,+1,+1
1917,-1,-2,-2,-2,+2,+3,00,00,+1,-1,+1,-1
1918,+1,+1,00,+1,+1,-2,-1,-1,00,-1,00,+2
1919,+1,00,00,-1,00,-1,-2,-1,+1,-2,-2,00
1920,+1,+1,+2,+1,+1,-1,00,-2,00,-1,-1,00
1921,+2,00,+2,00,+1,-1,+1,00,00,+2,-2,00
1922,00,-1,00,-1,+1,00,-1,-1,-2,-3,-1,+1
1923,+1,00,+1,-1,-1,-3,+1,-1,00,+1,-1,-1
1924,-1,-1,-1,-1,+1,00,-1,-2,00,+1,00,00
1925,+1,+1,-1,00,+1,00,+1,00,-2,00,-1,00
1926,00,+2,+1,+1,-1,-2,00,00,+1,-1,+2,00
1927,+1,00,+1,00,-1,-1,00,00,00,00,-1,-1
1928,+1,+1,00,00,-2,-1,+1,00,-1,00,+2,00
1929,-1,-3,00,-2,+1,-1,00,00,+2,+1,+1,+1
1930,+1,00,+1,+1,00,+2,-1,00,00,00,+2,00
1931,00,-1,-2,-1,+2,00,00,-1,-3,-1,+1,00
1932,+1,-1,-1,00,00,-1,+1,+2,+2,00,00,00
1933,-1,00,+1,00,-1,-1,+1,00,00,00,-1,-2
1934,+1,00,+1,+2,+1,+1,+1,00,+2,+1,00,+2
1935,00,+1,00,00,-1,+1,00,00,00,00,+1,00
1936,+2,00,+1,-1,00,00,00,00,00,-2,00,+1
1937,00,+1,00,00,+2,+1,00,00,00,+1,00,00
1938,+1,00,+2,-1,-1,+1,00,+1,+1,00,+2,-1
1939,+1,+1,-1,+1,-1,+1,00,+1,00,-1,+1,-1
1940,-3,-2,00,00,00,+1,-1,-2,-1,-1,+1,-1
1941,-2,00,00,-1,-2,+1,+1,-1,-1,00,-1,+1
1942,-3,-3,-1,00,00,-1,-1,+1,+2,+2,00,+1
1943,00,+1,+2,+1,+1,-1,00,+1,00,+1,00,00
1944,+2,00,-1,+1,00,-1,00,+3,00,00,+1,00
1945,-1,+2,+1,+1,+1,+1,+1,00,+1,+1,00,00
1946,00,+1,00,+2,+1,-1,+1,00,+1,-1,00,-1
1947,-1,-3,00,+1,+2,+2,+1,+2,+3,-1,+1,00
1948,+2,00,+2,+2,+1,00,-1,00,00,00,00,00
1949,+1,+1,00,+2,00,-1,+1,00,+3,+2,00,+1
1950,00,+1,+1,00,+1,+2,+1,+1,00,00,+1,-1
1951,+1,+1,00,00,00,00,00,+1,+1,-1,+2,+1
1952,+1,00,00,+2,00,00,+1,+1,-2,-1,-1,00
1953,00,00,+1,+1,+1,+1,00,00,00,+2,+1,+1
1954,-1,-2,+1,-1,00,+1,-2,-1,00,+1,00,+1
1955,00,-1,-1,00,-1,-1,00,00,00,00,00,+1
1956,+1,-3,00,-1,00,-2,00,-2,+1,00,-1,+1
1957,+1,+2,+2,00,-2,+1,+1,-1,-1,+1,+1,00
1958,00,+1,-2,-1,+1,-1,00,00,+1,+1,+1,+1
1959,00,00,+2,+1,00,+1,+2,+1,+1,00,00,+1
1960,00,00,+1,00,+1,+1,-1,-1,00,00,+2,00
1961,00,+2,+2,+2,-1,+1,-1,-1,+3,+2,00,00
1962,+1,00,-2,+1,-2,-1,-2,-1,-1,+1,-1,-2
1963,-2,-2,00,+1,00,00,+1,00,+1,00,+3,-1
1964,00,00,-1,+1,+1,+1,+1,00,00,-1,+1,00
1965,+1,-1,00,00,-1,00,-2,-1,00,00,-1,+1
1966,-1,+1,00,+1,+1,+1,-1,-1,00,+2,-1,+1
1967,+1,+1,+1,-1,00,-1,+1,00,+1,+2,00,00
1968,00,00,+1,+1,-1,+1,-1,00,00,+1,00,-1
1969,+1,-1,-1,00,+1,-1,+1,00,+1,+1,+1,-2
1970,-1,-1,-1,-1,-1,+2,-1,00,00,00,+2,00
1971,00,+1,-1,+1,+1,-1,+1,+1,-1,+1,00,+2
1972,00,+1,+1,00,-1,-1,+1,-1,-2,-1,+1,00
1973,00,00,+1,-1,00,+1,00,+1,+1,-1,00,00
1974,+2,+1,+1,+1,-1,-1,-1,+1,00,-2,+1,+2
1975,+2,+1,00,00,00,-1,+1,+2,+2,-1,00,00
1976,+1,00,-1,00,+1,+2,+2,00,00,+1,+1,-1
1977,+1,+1,+2,-1,00,00,00,-1,-1,+1,+1,+1
1978,+1,-1,+1,-1,00,-1,-1,-1,-1,+1,+1,00
1979,-1,-1,00,-1,00,+1,-1,-1,00,00,00,+2
1980,-1,+1,00,-1,-1,-1,-2,00,+1,00,00,00
1981,00,00,+2,00,+1,00,00,00,+1,00,+1,-1
1982,00,00,+1,00,00,+1,+2,+1,+2,+1,+2,+1
1983,+2,-1,+1,+1,-1,+1,+3,+1,00,+1,00,00
1984,+1,00,00,00,-1,-1,-1,00,-1,+1,+1,00
1985,-2,-1,00,00,+1,-2,00,00,00,00,-2,+2
1986,00,-3,00,-1,+1,00,00,00,-2,+1,+2,+1
1987,-2,00,-2,+1,-2,-1,00,-1,+1,+1,+1,+1
1988,+2,+1,00,+1,+2,00,00,00,00,+1,00,+1
1989,+1,+1,+2,00,+1,00,+1,00,+1,+2,00,+1
1990,+1,+2,+2,00,+1,00,00,+2,-1,+1,+1,00
1991,+1,-1,+2,00,-2,-2,+2,+1,+2,00,00,00
1992,+1,+1,+1,00,+2,+2,+1,+2,00,-1,+1,+1
1993,+1,-1,00,+2,+2,00,-1,-1,-1,00,-2,+1
1994,+2,00,+2,+1,00,00,+3,+1,00,00,+3,+2
1995,+1,+2,00,+1,00,-1,+3,+2,00,+3,00,-1
1996,-1,-1,-1,+1,-1,00,-1,+1,-2,+1,+1,-1
1997,00,+2,+2,-1,00,00,00,+3,+1,00,00,+1
1998,+1,+2,+1,+1,+1,+1,00,00,00,00,-1,00
1999,+1,00,+1,+1,+1,00,+1,+1,+3,+1,00,+1
2000,+1,+2,+1,+2,+2,+1,-1,+1,+1,+2,+2,+1
2001,+1,+1,+1,00,+2,-1,+1,+2,-1,+3,00,00
2002,+1,+2,+1,+1,+1,+2,+1,+2,00,00,+1,00
2003,00,-1,+1,+1,+1,+3,+2,+3,+1,-2,+2,+1
2004,00,+1,+1,+1,00,00,00,+2,+1,+1,+1,00
2005,+1,00,00,+1,00,+1,+1,-1,+2,+2,+1,00
2006,-1,00,-1,00,+1,+1,+3,-1,+3,+3,+3,+2
2007,+2,+2,+2,+3,+1,+2,00,00,00,00,00,+1
2008,+2,+2,+1,00,+2,+1,+1,+1,-1,+1,+1,00
2009,00,00,+1,+3,+1,-1,+1,+2,+1,00,+3,00
